Rank,Word,Occurrence
1,not,167
2,have,122
3,lady,98
4,do,83
5,will,73
6,shall,67
7,first,52
8,time,51
9,witch,50
10,come,50
11,good,50
12,hath,50
13,more,49
14,would,47
15,well,44
16,should,41
17,did,41
18,say,40
19,enter,39
20,make,39
21,lord,38
22,o,36
23,here,36
24,ill,36
25,tis,36
26,man,35
27,may,35
28,done,35
29,must,35
30,fear,35
31,let,35
32,had,34
33,murtherer,34
34,king,33
35,where,33
36,know,33
37,how,33
38,why,32
39,doctor,31
40,great,31
41,see,31
42,son,30
43,speak,30
44,thane,28
45,sir,28
46,second,27
47,go,26
48,sleep,26
49,too,25
50,siward,24
51,can,24
52,look,24
53,give,24
54,does,24
55,things,23
56,blood,23
57,cawdor,22
58,exit,22
59,night,22
60,again,21
61,third,21
62,been,21
63,heart,21
64,scotland,20
65,nature,20
66,cannot,20
67,death,20
68,has,19
69,love,19
70,day,18
71,show,18
72,way,18
73,life,18
74,hear,18
75,ay,18
76,only,17
77,exeuntscene,17
78,hail,17
79,art,17
80,worthy,17
81,own,17
82,take,17
83,men,16
84,strange,16
85,put,16
86,poor,16
87,knocking,16
88,wife,15
89,old,15
90,bloody,15
91,heaven,15
92,deed,15
93,three,14
94,air,14
95,name,14
96,god,14
97,thought,14
98,theres,14
99,dead,14
100,could,14